AS44515,Advania Ísland ehf
AS44656,2provide GmbH
AS44735,Nova hf
AS44894,Ukrchermetavtomatika LLC
AS45177,Devoli
AS45287,PT Varnion Technology Semesta
AS45294,PT Wanriau Indoxp
AS45295,PT Cipta Informatika Cemerlang
AS45298,PT Interlink Technology
AS45302,PT DES Teknologi Informasi
AS45305,PT Lintas Data Prima
AS45312,PT Media Lintas Data
AS45315,PT Polarisnet
AS45317,PT Jaringan Lintas Utara
AS45323,PT Interlink Technology
AS45325,PT PC24 Telekomunikasi Indonesia
AS45558,Myanmar Posts and Telecommunications
AS45701,PT Internet Madju Abad Milenindo
AS45707,PT Prime Link Communication
AS45710,PT Yudhawira Khatulistiwa
AS45716,PT Cikarang Cyberindo
AS45722,PT Widya Intersat Nusantara
AS45725,PT Kings Network Indonesia
AS45763,Opticomm Co Pty Ltd
AS45786,PT Hawk Teknologi Solusi
AS45820,Tata Teleservices ISP
AS45899,VNPT Corp
AS46026,PT Batam Bintan Telekomunikasi
AS46063,PT.Graha Telekomunikasi Indonesia
AS46109,"""Ardent Wireless", LLC"
AS46154,Farmers Mutual Telephone Company
AS46280,Broadband Communications North Inc.
AS46375,Sonic Telecom LLC
AS46687,"""BCI Mississippi Broadband",LLC"
AS46690,Frontier Communications
AS46962,HRCOM
AS47297,NetCom BW GmbH
AS47377,Orange Belgium SA
AS47474,Virtual1 Limited
AS47499,SIA ILVA Ltd.
AS47638,Cadence Networks Ltd
AS47813,"""Atomlantis Network", LLC"
AS48085,DNIPRO-Techcenter Ltd
AS48101,Trooli Ltd.
AS48266,Catixs Ltd
AS48814,Netbone Telekomunikasyon A.S.
AS49102,Connected sp. z o. o.
AS49158,WIFINITY NETWORKS LIMITED
AS49515,DND Nordic AB
AS49628,LLC Skytel
AS49770,Internetport Sweden AB
AS49774,S.C. Interlink Banat S.R.L.
AS49824,"PC """"Astra-net"""""
AS49826,Lounea (ex. Forssan Seudun Puhelin)
AS50304,Blix Solutions AS
AS50309,Arcadiz Telecom NV
AS50392,LLC Campus Networks
AS50576,FREEWAY Plus LLC
AS50628,Leonix Telecom SAS
AS50629,LWLcom GmbH
AS50959,BEEONLINE OJSC
AS51088,A2B IP B.V.
AS51184,Fonira Telekom GmbH
AS51263,County Broadband Ltd
AS51505,Dimosia Epicheirisi Ilektrismou Anonymi Etaireia
AS51809,BRSK Limited
AS51896,Hringdu ehf
AS51918,Cerberus Networks Ltd
AS51935,BLC Telecom Oy
AS51964,ORANGE BUSINESS SERVICES U.S. Inc.
AS51978,WEMACOM Telekommunikation GmbH
AS52056,Lounea (ex. Härkätien Puhelin)
AS52320,V.tal (GlobeNet)
AS52660,e.serv informatica e tecnologia ltda.
AS52839,RSS SOCIEDADE CIVIL LTDA
AS52999,START TELECOM LTDA
AS53013,WIXNET DO BRASIL LTDA - ME
AS53062,ALT | GRUPO BRASIL TECPAR
AS53180,INFORTEL COMUNICACOES LTDA
AS53256,Mulberry Telecommunications
AS53340,FiberHub (VegasNAP)
AS53407,UTOPIA Fiber
AS53423,Brazos WiFi
AS53828,"""NETWORK INNOVATIONS", LLC"
AS54182,Bell Canada
AS54225,ORANGE COUNTY FIBER LLC
AS54980,FlexNetworks
AS55555,Delion Pty Ltd
AS55652,PT Sumidhaz Permata Bunda
AS55653,PT Skyline Semesta
AS55655,PT Sarana Insan Muda Selaras
AS55666,PT Media Sarana Data
AS55670,PT Universal Broadband
AS55679,PT Hyperindo Media Perkasa
AS55690,PT Andira Infomedia
AS55701,PT Usaha Adi Sanggoro
AS55915,Classic Tech Pvt. Ltd.
AS56030,Voyager Internet Ltd.
AS56040,China Mobile Group GuangDong Company
AS56041,China Mobile Group Zhejiang Company
AS56044,China Mobile Group Liaoning Company
AS56046,China Mobile Jiangsu Province Network
AS56047,China Mobile Group Hunan Company
AS56048,China Mobile Group Beijing Company
AS56172,Agora Communications Pte Ltd
AS56246,PT Sumber Data Indonesia
AS56309,"""Siamdata Communication Co.",Ltd."
AS56410,Leeson Telecom Holdings Ltd
AS56523,Marek Michałkiewicz
AS56665,Proximus Luxembourg S.A.
AS57099,Boundless Networks Limited
AS57152,TEKNET VERI MERKEZI HIZMETLERI A.S.
AS57223,SIA NETVISION
AS57630,84 Grams AB
AS57732,Ikaalisten-Parkanon Puhelin Osakeyhtio Ltd
AS58075,X2com BV
AS58273,Broadband for the Rural North Limited.
AS58340,Napapiirin Kuituverkot Oy
AS58369,PT Fiber Networks Indonesia
AS58392,PT Sewiwi Indonesia
AS58396,PT Dewata Telematika
AS58453,China Mobile International
AS58474,PT Matrixnet Global Indonesia
AS58485,PT Wifian Solution
AS58495,PT Parsaoran Global Datatrans
AS58552,PT Multidata Rancana Prima
AS58553,PT 3D Tech
AS58659,Quest Consultancy Pvt Ltd
AS58689,ICC Communication
AS58715,EARTH TELECOMMUNICATION (Pvt) LTD.
AS58717,Summit Communications Ltd
AS58821,PT Lintas Jaringan Nusantara
AS58945,Virgo Communication Ltd
AS59133,PT Daya Sinergi Telekomunikasi
AS59139,PT Wifiku Indonesia
AS59149,PT Tujuh Delapan Sembilan Net
AS59158,PT Blambangan Cahaya Timur
AS59239,iTel Limited
AS59273,PT Komunikasi Lintas Nusa
AS59278,PT Jaringan VNT Indonesia
AS59514,PE Kucherenko V.V.
AS59702,Junet AB
AS59790,Marco Bungalski GmbH
AS60294,Deutsche Glasfaser Wholesale GmbH
AS60641,HEXATEL SAS
AS60670,WideFM Ltd
AS61049,Exascale Ltd
AS61135,Comnet Bilgi İletişim Teknolojileri Tic. A.Ş.
AS61172,SME S.A.R.L
AS61461,Airtek Solutions C.A.
AS61716,Central Telecom
AS61745,NBS Telecom
AS61832,Giga+ Empresas
AS61884,Ollá Telecom
AS62275,NHM - S.R.L.
AS62809,Volt Broadband
AS62943,Bluebird Network
AS63072,SPYR Network Ltd
AS63296,Amarillo Wireless
AS63490,PT Artha Media Lintas Nusa
AS63497,PT Arana Teknologi Indonesia
AS63501,PT Mega Mentari Mandiri
AS63508,PT Dinamika Mediakom
AS63859,PT Eka Mas Republik
AS63873,PT Mitra Akses Globalindo
AS63878,PT Victory Network Indonesia
AS63927,RISE
AS64024,PT Yesi Media Utama
AS64027,PT Surya Teknika Pratama
AS64029,PT Rama Wima Nusantara
AS64073,Vetta Online Ltd
AS64096,"""Internet Harbor International Co.", Ltd."
AS64126,"""DOMINICAN TELECOM PRIME", DTP, S.R.L."
AS64300,PT Jaringanku Sarana Nusantara
AS64315,PT Mitra Visioner Pratama
AS131111,PT Mora Telematika Indonesia Tbk
AS131316,Slnet Hosting
AS131584,"""Taiwan Intelligent Fiber Optic Network Co.",Ltd."
AS131607,"""Digidom CableTV Co.", LTD."
AS131706,PT Selaras Citra Terabit
AS131717,PT Citra Jelajah Informatika
AS131743,PT Gnet Biaro Akses
AS131746,PT Medianusa Permana
AS131749,PT Arthatama Adhiprima Persada
AS131759,PT Web Data Solusindo
AS131767,PT Solo Jala Buana
AS132137,Shree Omkar Infocom Pvt Ltd
