AS214792,Hamburger Hochbahn AG
AS215044,OBT AG
AS215057,Opera della Primaziale Pisana
AS215168,Akos Miklos
AS215444,MOA Group GmbH
AS215449,Avionero AB
AS215537,E-karte SIA
AS215712,Printful Latvia AS
AS215756,Schmitz-Werke GmbH + Co. KG
AS215823,Spaugur ehf.
AS215833,Ablative Consulting Ltd
AS215955,ALTEASYSTEMS OU
AS216421,Adven Group Oy
AS262303,eCentry Tecnologia da Informacao Ltda
AS263358,Centro B. de P. em A. e S. e de P de Eventos
AS268850,IXC Soft
AS270421,NU PAGAMENTOS SA
AS270532,IB TURBO
AS271541,HAVAN SA
AS273731,MGDATA TECNOLOGIA LTDA
AS274524,Eucatur Transporte e Turismo Ltda
AS328238,INFOSET SARL
AS328578,KEMNET TECHNOLOGIES LIMITED
AS328964,Insight Actuarial Solutions (Pty) Ltd
AS329016,Adumo Technologies  (Pty) Ltd
AS329265,Commercial Bank of Ethiopia
AS329418,International Centre for Research in Agroforestry
AS393658,"""Atypon Systems", Inc."
AS394230,"""Civilized Discourse Construction Kit", Inc."
AS394265,Box.com
AS394270,Cabi LLC
AS394337,Simeon Networks LLC
AS394456,Epik LLC
AS394637,LightChange Technologies
AS394649,"""LotusFlare", Inc."
AS395044,APT Labs
AS395266,"""Keysight Technologies", Inc"
AS395677,GTAA
AS396320,Metropolitan Airports Commission
AS396940,HTH
AS397045,D. Brown Management
AS397140,Amarillo National Bank
AS397441,Nebula Mods
AS397700,LXXIX Project Lab LLC
AS397736,Beacon Federal Credit Union
AS398726,Cabbit Technology LLC
AS399140,"""Red Hat", Inc."
AS399265,"""Red Hat", Inc."
AS399358,"""Anthropic", PBC"
AS399647,Rumble USA Inc.
AS399728,P Foundation
AS399838,"""VITAL GAME NETWORK", LLC"
AS399976,Nova Networks Inc
AS400172,"""RackOrbit", LLC"
AS400422,Modern Treasury Corp.
AS400979,CPAC
